gender,SeniorCitizen,Partner,Dependents,Antiguedad,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
Female,0,No,No,34,No,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,33.98,866.655
Female,0,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.91,469.847
Female,1,Yes,Yes,21,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,40.32,2162.505
Male,0,No,No,0,Yes,No,No,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.08,478.695
Female,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.85,274.275
Male,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.22,623.032
Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.37,641.442
Male,1,Yes,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,66.33,640.129
Male,1,No,Yes,69,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.4,6236.407
Female,0,No,Yes,9,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),28.81,305.37
Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.71,841.03
Female,0,Yes,No,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),110.58,7214.832
Female,0,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,103.31,5234.347
Female,1,No,No,67,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,105.34,4989.548
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.25,119.823
Female,0,No,No,67,No,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),32.97,1824.075
Female,0,Yes,Yes,14,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),30.93,196.405
Female,0,No,No,0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,29.46,72.277
Female,0,Yes,Yes,59,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),34.78,673.431
Female,0,Yes,No,69,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),38.61,5208.032
Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.41,594.006
Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.67,522.112
Female,0,No,No,1,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.06,379.816
Female,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.34,880.084
Female,0,No,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.74,713.212
Female,0,No,No,72,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),82.02,6958.017
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,90.91,2394.575
Male,0,No,No,66,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),113.92,6601.449
Female,1,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,98.75,3782.064
Female,1,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),101.49,7116.192
Female,0,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.38,792.459
Female,0,Yes,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.1,924.801
Female,0,No,No,55,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,87.91,359.284
Male,1,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.34,669.116
Male,1,No,No,59,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.32,5529.702
Male,0,No,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),79.23,282.683
Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,87.63,603.155
Female,0,No,No,8,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,33.92,59.16
Male,0,Yes,No,67,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),82.97,5465.759
Male,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.87,1330.596
Female,0,No,Yes,33,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,91.32,1348.009
Male,0,No,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.35,1200.895
Female,0,Yes,No,67,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),98.44,4475.382
Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,104.26,3616.816
Female,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,63.79,740.65
Female,0,Yes,No,9,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.16,1705.938
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.42,292.603
Female,0,Yes,Yes,30,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,50.72,2138.482
Female,0,Yes,Yes,22,No,No phone service,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),46.48,2580.877
Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),80.9,1979.039
Male,0,Yes,No,66,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),41.58,4371.188
Male,1,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.16,3216.221
Female,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.26,3639.321
Female,0,Yes,No,71,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),112.9,6280.763
Female,1,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),104.86,3563.55
Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.69,697.253
Male,1,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.8,1031.834
Male,1,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,87.41,88.445
Female,0,No,No,7,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,35.37,139.006
Female,0,Yes,No,0,Yes,No,DSL,No,No,No internet service,Yes,No,No,Month-to-month,No,Mailed check,46.32,164.564
Male,0,Yes,No,36,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),35.21,3473.806
Female,0,Yes,No,67,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),73.69,1616.787
Male,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.43,5638.827
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),105.4,4446.649
Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,22.93,265.282
Female,1,Yes,No,48,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,102.46,6494.765
Female,1,Yes,No,7,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,29.53,18.8
Male,1,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.63,577.287
Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,73.3,765.901
Female,0,Yes,No,36,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Mailed check,49.57,3212.816
Female,0,No,No,55,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),112.45,1306.214
Female,0,No,Yes,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,36.77,171.007
Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),108.1,4944.331
Female,0,No,No,54,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),82.36,6248.323
Male,0,Yes,No,45,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.32,654.916
Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,26.18,574.477
Female,1,Yes,Yes,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.75,5844.921
Female,0,No,No,42,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,34.71,2366.051
Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.22,83.92
Female,1,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),108.56,4959.112
Male,1,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),93.76,6204.451
Female,0,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.0,902.129
Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.15,1306.003
Female,0,Yes,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.39,4476.957
Female,1,No,No,35,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,87.02,5291.032
Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.65,755.827
Female,0,No,No,14,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.35,2694.83
Female,0,Yes,No,15,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),81.22,2980.57
Female,0,No,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.89,417.701
Male,0,Yes,Yes,20,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),86.12,4930.438
Female,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),82.76,1809.813
Female,0,Yes,Yes,69,Yes,Yes,No,No,No,No,No,No internet service,No,One year,No,Credit card (automatic),51.78,2214.191
Male,0,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.51,1385.952
Female,1,Yes,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,77.73,2617.688
Female,1,Yes,No,8,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),32.57,386.759
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),113.72,4661.163
Female,0,Yes,Yes,48,Yes,No phone service,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),94.3,5121.059
Female,0,No,No,30,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.42,555.227
Female,0,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),115.57,6142.091
Female,0,No,Yes,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.64,934.658
Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.8,188.84
Male,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.82,1097.504
Female,1,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,83.87,5457.228
Female,0,Yes,Yes,11,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),30.33,925.11
Female,0,No,No,24,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,106.76,2823.726
Female,1,Yes,Yes,50,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.63,4263.687
Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,67.15,6426.619
Male,0,Yes,Yes,53,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),74.16,7921.683
Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),72.35,2121.42
Male,0,No,No,69,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),106.74,5207.061
Female,1,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),68.4,1040.25
Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.42,18.8
Female,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),107.88,6384.723
Female,0,Yes,No,35,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,91.13,319.257
Female,1,No,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,51.86,56.278
Female,1,Yes,No,72,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),108.6,7399.084
Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.39,656.427
Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.15,981.604
Male,0,Yes,Yes,29,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.93,5061.988
Female,0,No,No,26,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),82.15,1756.161
Male,0,Yes,Yes,72,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,48.42,4988.792
Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.73,224.79
Male,1,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),108.69,3827.854
Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,81.03,916.249
Female,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.13,4585.982
Male,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,79.07,4878.851
Female,0,Yes,No,34,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,80.4,82.613
Female,0,Yes,No,59,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),37.06,7222.944
Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,109.13,2046.921
Male,0,Yes,No,28,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,49.55,342.334
Male,0,No,No,24,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),87.34,998.597
Male,0,No,No,16,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,31.34,3200.464
Female,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.46,203.059
Female,0,Yes,Yes,71,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,72.59,660.184
Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,623.919
Female,0,Yes,No,58,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),91.23,6023.225
Male,0,Yes,No,24,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,72.1,541.265
Female,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.01,1149.328
Female,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.95,533.236
Male,0,No,No,14,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,70.6,689.534
Female,1,No,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,85.14,3106.153
Male,0,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.87,3576.545
Male,0,No,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.71,752.577
Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,112.52,1113.948
Female,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.34,391.199
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.77,632.154
Female,0,Yes,Yes,68,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,70.06,844.367
Male,0,Yes,Yes,71,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),74.88,1373.642
Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),114.62,4678.052
Female,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.29,480.469
Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.08,76.867
Female,0,Yes,No,11,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),97.29,5613.389
Male,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.38,704.765
Female,1,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.59,1905.921
Male,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.1,4858.21
Male,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),79.42,3103.057
Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),109.79,6987.863
Female,0,No,Yes,13,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,45.94,1577.618
Female,0,No,No,30,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,29.86,1690.942
Female,0,No,No,42,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,91.99,4607.529
Female,0,Yes,No,4,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,50.93,945.054
Female,0,No,Yes,35,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),36.36,2048.821
Female,1,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.46,1624.871
Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.98,583.298
Male,0,No,No,10,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.95,712.862
Female,0,No,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,80.6,5058.444
Male,0,No,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,109.01,6933.068
Female,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.72,49.144
Male,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.67,136.466
Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,83.24,226.761
Male,0,Yes,Yes,44,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),98.35,5690.397
Male,0,Yes,Yes,54,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.61,880.798
Female,0,No,Yes,66,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),110.08,3073.347
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.79,91.299
Female,0,No,No,70,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.56,6865.853
Female,0,Yes,Yes,7,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),83.27,765.569
Male,0,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,77.12,4000.02
Female,0,Yes,Yes,70,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),51.91,806.995
Male,0,Yes,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.69,582.43
Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.14,416.136
Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,101.66,2173.484
Female,0,No,No,0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,35.34,701.044
Female,1,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),110.41,1282.002
Male,0,No,Yes,52,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Mailed check,48.59,908.806
Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,180.633
Female,0,Yes,No,11,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),73.24,5107.649
Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),100.07,4704.38
Female,1,No,Yes,42,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,38.14,620.495
Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.03,5000.617
Male,1,Yes,No,67,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),103.2,8149.277
Male,0,No,No,69,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.13,7304.592
Female,0,No,No,71,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),112.5,6269.362
Male,1,No,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,79.58,934.557
Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),22.57,1791.689
Male,1,No,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,65.87,7561.988
Female,1,No,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,89.87,2111.768
Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,91.57,448.659
Male,1,No,No,14,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),47.8,3387.302
Male,0,Yes,No,12,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,77.15,152.395
